"location_name","latitude","longitude","date_time","five_minute_rainfall"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:45:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:50:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 11:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 11:05:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 11:10:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 11:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 11:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 12:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 20:40:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 20:45:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 20:50:00","0.15"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 20:55:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:00:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:05:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:30:00","0.51"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:35:00","0.22"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:40:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:45:00","0.17"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 21:50:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 22:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 22:10:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 22:15:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 22:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 22:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 22:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 23:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-03 20:35:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 22:50:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 22:55:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:00:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:05:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:10:00","0.13"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:15:00","0.1"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:20:00","0.08"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:25:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:30:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-13 23:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-21 11:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-21 14:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-21 14:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-22 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 16:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 16:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 16:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 16:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 16:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 17:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 17:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 17:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 17:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 17:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-04-25 18:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 13:20:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 13:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:40:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:45:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:50:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 15:55:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 16:00:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 16:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-04 16:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 04:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 09:05:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 10:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 12:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 13:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 13:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 13:55:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 14:00:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 14:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 16:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 16:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:05:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:10:00","0.18"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:15:00","0.2"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:20:00","0.18"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:25:00","0.17"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:30:00","0.17"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:35:00","0.14"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:40:00","0.08"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:45:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 17:55:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:00:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-05-20 18:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-15 07:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-15 15:20:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-15 15:25:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-15 16:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-16 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 01:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:10:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:15:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:20:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 03:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 04:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-18 09:35:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 12:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 12:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 17:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 17:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 17:50:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 18:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 19:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 19:55:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 22:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-06-19 22:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:10:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:15:00","0.12"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:20:00","0.13"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:25:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:30:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 16:50:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:10:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:30:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:35:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:40:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:50:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 17:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:00:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:40:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 18:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 19:00:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 19:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 19:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 19:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 19:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-07-04 20:15:00","0.01"
