,addresses,zip,lat,long,short-zip
771,5807 Farragut Dr,78228-4331,29.460401,-98.599363,78228
772,231 Shasta Ave,78221-1625,29.354911,-98.498637,78221
773,10800 Entrance Rd Ne,,29.425173,-98.494599,
774,1 Dominion Dr,78257-1247,29.65026,-98.614349,78257
775,4400 Thousand Oaks,78233,29.550477,-98.407423,78233
776,268 Rosewood Ave E,78212-5234,29.465093,-98.488814,78212
777,950 Cincinnati Ave,78201-6028,29.449736,-98.526546,78201
778,500 Belford,78223,29.363772,-98.431668,78223
779,9306 Mountain Field Dr,78240-5434,29.527168,-98.581706,78240
780,4903 Owl Haven,78250-4736,29.48039,-98.648079,78250
781,14111 Blue Smoke,78231-1901,29.571561,-98.537079,78231
782,6330 Pecan Valley Dr,78223-3162,29.363807,-98.441401,78223
783,10800 Entrance Rd Ne,,29.425173,-98.494599,
784,6835 Us Hwy 90 W,78227-3610,29.40326,-98.626031,78227
785,307 Serna Park,78218-2038,29.506796,-98.402252,78218
786,204 Panuco,78237-2154,29.429637,-98.548915,78237
787,1104 Mauermann Rd,78224-3102,29.28387,-98.520528,78224
788,7502 Jones Maltsberger Rd,78216,29.502301,-98.481921,78216
789,7502 Jones Maltsberger Rd,78216,29.502301,-98.481921,78216
790,1906 Wrangler Dr,78227-2763,29.413923,-98.642582,78227
791,8400 Redwing Dr,78219-1423,29.46328,-98.385392,78219
792,10800 Entrance Rd Ne,,29.425173,-98.494599,
793,5821 Culebra Rd,78228-5664,29.448505,-98.600628,78228
794,6610 Seidel,78209-4824,29.48924,-98.444659,78209
795,1900 Ashprington,78251-1300,29.45452,-98.640464,78251
796,903 Camino Santa Maria,78228,29.455562,-98.560065,78228
797,10800 Entrance Rd Ne,,29.425173,-98.494599,
798,1617 Commerce St W,78207-3546,29.426857,-98.51294,78207
799,10800 Entrance Rd Ne,,29.425173,-98.494599,
800,5704 Presa St S,78223-3508,29.365185,-98.468846,78223
801,1403 Harry Wurzbach,78209-6113,29.473739,-98.436127,78209
802,10800 Entrance Rd Ne,,29.425173,-98.494599,
803,2209 Virginia Blvd,78203-2343,29.410859,-98.450319,78203
804,12903 Parton Ln,78233-5153,29.558065,-98.371296,78233
805,6102 Rose Valley,78242-2521,29.346295,-98.622017,78242
806,1030 Vance Jackson,78257,29.592858,-98.589437,78257
807,1323 Fenfield Ave,78211-3468,29.363157,-98.565613,78211
808,111 Laurel St E,78212-4300,29.441717,-98.493613,78212
809,10800 Entrance Rd Ne,,29.425173,-98.494599,
810,5807 Farragut Dr,78228-4331,29.460401,-98.599363,78228
811,3201 Cherry Ridge Dr,78230-4800,29.507763,-98.547474,78230
812,13819 Parksite Woods,78249-1822,29.572115,-98.574944,78249
813,1431 Cable Ranch Rd,78245-2116,29.42125,-98.65772,78245
814,14022 Floral Rdg,78247-3703,29.569046,-98.440907,78247
815,2250 Buffalo St,78221-1001,29.36342,-98.519317,78221
816,7605 Tezel Rd,78250-3574,29.510462,-98.662387,78250
817,7719 Pasteur Ct,78229-3442,29.509422,-98.566587,78229
818,2600 Quintana Rd,78211-3373,29.365101,-98.564645,78211
819,11639 Elm Rdg,78230-2630,29.546357,-98.548404,78230
820,307 Merrimac St,78223-2067,29.37354,-98.470791,78223
821,10090 Commerce St W,78227-1303,29.436404,-98.631014,78227
822,5615 Joiner Dr,78238-1811,29.485094,-98.597508,78238
823,4002 Stahl Rd,78217-1608,29.565595,-98.414051,78217
824,668 Holbrook,78218-5207,29.48025,-98.410605,78218
825,1927 Goliad Rd,78223-2714,29.366496,-98.441846,78223
826,1919 Rogers Rd,78251-4614,29.453613,-98.682566,78251
827,7526 Westrock Dr,78227-2707,29.402949,-98.638753,78227
828,3506 Ticonderoga,78230-3255,29.536299,-98.553086,78230
829,6418 Eckhert Rd,78240-2632,29.519207,-98.614789,78240
830,400 Berman Rd,78226,29.37583,-98.559017,78226
831,6638 Buena Vista St,78227-1505,29.433144,-98.589443,78227
832,9039 Yett Ave,78221-4131,29.332258,-98.492964,78221
833,319 Duke Ave,78228-5206,29.454769,-98.555692,78228
834,4550 Del Webb Blvd,78253-5761,29.475025,-98.742103,78253
835,409 Cheryl Dr E,78228-3022,29.464721,-98.556643,78228
836,7410 Painter Way,78240-5247,29.506974,-98.596249,78240
837,1003 26Th St Nw,78228-6463,29.437443,-98.544103,78228
838,7300 Loop 410 Nw,78245-2150,29.45065,-98.631542,78245
839,101 Margaret,78209,29.453235,-98.471466,78209
840,851 San Bernardo S,78237-2940,29.418679,-98.5578,78237
841,23500 Ih 10 W,78257,29.656913,-98.625633,78257
842,700 Holbrook,78218-5207,29.480513,-98.410905,78218
843,1039 Waverly,78201-6046,29.447734,-98.528526,78201
844,101 Aganier Ave,78212-3807,29.446422,-98.50698,78212
845,126 Calmar,78220-3150,29.410924,-98.435934,78220
846,12510 La Bahia,78233-6323,29.551872,-98.39262,78233
847,11601 Wurzbach Pkwy,78230,29.549594,-98.543204,78230
848,1200 Lombrano,78207,29.44429,-98.540322,78207
849,12251 Farview Ln,78216-8507,29.552474,-98.475009,78216
850,700 Holbrook,78218-5207,29.480513,-98.410905,78218
851,1300 Elmendorf N,78207-1141,29.441505,-98.527649,78207
852,8210 Mccullough Ave,78216-6403,29.511692,-98.491728,78216
853,310 Kampmann Blvd,78201-4830,29.458088,-98.536668,78201
854,1151 Mission Rd,78210-4505,29.38478,-98.489514,78210
855,804 Crystal,78211-1718,29.377051,-98.51435,78211
856,3138 Commerce St E,78220-1100,29.419955,-98.438053,78220
857,3803 Barrington,78217-4101,29.522751,-98.421335,78217
858,2128 Poplar St W,78207-1165,29.440887,-98.527071,78207
859,506 Holder Ave,78211-3412,29.36092,-98.563391,78211
860,226 Newson,78201-2720,29.482237,-98.538633,78201
861,203 Jean St,78207-6920,29.411527,-98.517712,78207
862,211 Hermitage Ct,78223-2039,29.371972,-98.470768,78223
863,5717 New Braunfels Ave S,78223,29.368627,-98.46075,78223
864,3800 Parkdale,78229-2031,29.526269,-98.559494,78229
865,535 Hermosa W,78212-1317,29.478706,-98.505926,78212
866,0 Meadow Corner,78251,29.466864,-98.64145,78251
867,618 Elmira St W,78212-5120,29.433662,-98.499635,78212
868,907 Weizmann,78213-4531,29.492073,-98.520076,78213
869,10402 Walnut Crest,78245-2911,29.41891,-98.698027,78245
870,231 Loop 410 Sw,78245-2119,29.437772,-98.643277,78245
871,1830 Lennon Ave,78223-2560,29.371453,-98.46682,78223
872,231 Hialeah Ave,78218-2615,29.497451,-98.410353,78218
873,303 El Monte Blvd,78212-1116,29.48515,-98.499581,78212
874,6410 Flores St N,78212-1125,29.485666,-98.502717,78212
875,7211 Norman Ln,78240-5250,29.506875,-98.595579,78240
876,1807 Mayfield Blvd W,78211-3359,29.363803,-98.561562,78211
877,534 Lincolnshire Dr,78220-3214,29.411175,-98.427477,78220
878,101 Ridgemont Ave,78209-5429,29.481003,-98.459066,78209
879,9500 Adams Hill Dr,78245,29.409351,-98.670795,78245
880,10750 Pleasanton Rd,78221-9688,29.310247,-98.502265,78221
881,1714 Travis St W,78207-3958,29.428696,-98.513736,78207
882,6219 Apple Valley Dr,78242-1505,29.364972,-98.627017,78242
883,230 Escalon Ave,78221-1423,29.355501,-98.519682,78221
884,12798 West Ave,78216,29.560058,-98.495051,78216
885,602 24Th St Nw,78207-4620,29.424248,-98.54315,78207
886,17 Trophy Rdg,78258-7714,29.656247,-98.474408,78258
887,11612 Perrin Beitel,78217-2105,29.545836,-98.410539,78217
888,7007 Loop 410 Nw,78238-4115,29.457211,-98.627056,78238
889,3600 Wiseman Blvd,78251-4323,29.475169,-98.686418,78251
890,8955 Seacliff,78242-3010,29.337219,-98.605195,78242
891,10762 Pleasanton Rd,78221-9688,29.281297,-98.500289,78221
892,1515 Mission Rd,78210-4502,29.382141,-98.489689,78210
893,6815 Greencastle Dr,78242-1315,29.366358,-98.607519,78242
894,4215 Martin St W,78207-2711,29.43342,-98.541276,78207
895,2922 Blanco Rd,78212-1813,29.473711,-98.507866,78212
896,2222 Alamo St N,78215,29.446185,-98.474637,78215
897,303 Industrial Vw,78226,29.390627,-98.541374,78226
898,15751 Mission Rdg,78232,29.588941,-98.511194,78232
899,4303 Commerce St W,78237-1625,29.43004,-98.546732,78237
900,2639 Mossrock,78230-5113,29.513037,-98.536611,78230
901,700 Holbrook,78218-5207,29.480513,-98.410905,78218
902,668 Holbrook,78218-5207,29.48025,-98.410605,78218
903,668 Holbrook,78218-5207,29.48025,-98.410605,78218
904,700 Holbrook,78218-5207,29.480513,-98.410905,78218
905,200 Ira Lee Rd,78218-1703,29.504837,-98.421363,78218
906,1074 Arion Cir,78216-2829,29.550733,-98.478053,78216
907,908 Manor Dr,78228-3256,29.464724,-98.542815,78228
908,1427 Harry Wurzbach,78209-6113,29.474036,-98.435964,78209
909,310 Kampmann Blvd,78201-4830,29.458088,-98.536668,78201
910,11400 Starcrest Dr,78216,29.546262,-98.454656,78216
911,6138 Pyrite Loop,78222-4146,29.366425,-98.368931,78222
912,111 Yolanda,78228-5860,29.442273,-98.578782,78228
913,1426 San Francisco,78201-4115,29.468746,-98.518407,78201
914,3540 Eagle Crk,78222-3435,29.379788,-98.367031,78222
915,1135 Mission Rd,78210-4505,29.385518,-98.489741,78210
916,1235 Lombrano,78207,29.44429,-98.540322,78207
917,1026 Leal St,78207-2233,29.434624,-98.518397,78207
918,2204 Poplar St W,78207-1425,29.440968,-98.527973,78207
919,83 Arrowhead Dr,78228-1804,29.482204,-98.573458,78228
920,409 Cheryl Dr E,78228-3022,29.464721,-98.556643,78228
921,407 Tulane,78228-5510,29.448587,-98.549734,78228
922,2302 Woodlawn W,78201,29.455146,-98.537683,78201
923,21023 La Pena Dr,78258-2935,29.635694,-98.491886,78258
924,10606 Rimcrest Dr,78217-2856,29.537519,-98.428504,78217
925,4903 Benham,78220-4835,29.407565,-98.397745,78220
926,23500 Ih 10 W,78257,29.656913,-98.625633,78257
927,668 Holbrook,78218-5207,29.48025,-98.410605,78218
928,900 Holbrook,78218,29.484872,-98.41622,78218
929,1033 38Th St Sw,78237-3326,29.411509,-98.578848,78237
930,715 Contour Dr E,78212-1702,29.478181,-98.482659,78212
931,2438 Betty Jean,78223-2273,29.372461,-98.453761,78223
932,9014 Silver Arrow,78224-2235,29.333577,-98.534582,78224
933,1074 Arion Cir,78216-2829,29.550733,-98.478053,78216
934,11401 Starcrest Dr,78216,29.546312,-98.454854,78216
935,23500 Ih 10 W,78257,29.656913,-98.625633,78257
936,2222 Alamo St N,78215,29.446185,-98.474637,78215
937,1318 San Francisco,78201-4113,29.468743,-98.516375,78201
938,755 Avondale Ave,78223-2207,29.370641,-98.452996,78223
939,3495 Valley Rd,78221-5238,29.238149,-98.430732,78221
940,2900 Flores St S,78204-2631,29.395229,-98.504286,78204
941,173 Ira Lee Rd,78218,29.501671,-98.421322,78218
942,4615 Evans Rd E,78259,29.644614,-98.398786,78259
943,202 Pinewood Ln,78216-6729,29.50988,-98.496285,78216
944,630 Fresno,78212-1405,29.474205,-98.504087,78212
945,1600 Hedges St,78203-2152,29.414027,-98.444676,78203
946,1333 Buena Vista St,78207-3907,29.425827,-98.513415,78207
947,804 Crystal,78211-1718,29.377051,-98.51435,78211
948,114 Hearne,78225-1642,29.38954,-98.522067,78225
949,700 Holbrook,78218-5207,29.480513,-98.410905,78218
950,818 Valley Hi Dr,78227-4604,29.380841,-98.640524,78227
951,9706 Ih 35 N,78233-6609,29.526977,-98.392631,78233
952,23500 Ih 10 W,78257,29.656913,-98.625633,78257
953,902 Holbrook,78218,29.48491,-98.416246,78218
954,5802 Kim Valley,78242-2212,29.350343,-98.611644,78242
955,409 Cheryl Dr E,78228-3022,29.464721,-98.556643,78228
956,2630 Arbor Place,78228-6408,29.439235,-98.545136,78228
957,818 Valley Hi Dr,78227-4604,29.380841,-98.640524,78227
958,8671 Loop 410 Access Rd Sw,78245-2148,29.443089,-98.638959,78245
959,11401 Starcrest Dr,78216,29.546312,-98.454854,78216
960,4201 Piedmont Ave,78223-1201,29.375531,-98.468375,78223
961,409 Cheryl Dr E,78228-3022,29.464721,-98.556643,78228
962,700 Holbrook,78218-5207,29.480513,-98.410905,78218
963,624 Linda Lou Dr,78223-1256,29.377822,-98.468411,78223
964,207 Northill Dr,78201-2642,29.481286,-98.548916,78201
965,1306 Hackberry St N,78202-1113,29.435517,-98.473275,78202
966,9615 Plymouth,78216-4620,29.528037,-98.48848,78216
967,5365 Southcross Ranch Rd,78222-4020,29.378856,-98.386324,78222
968,6203 Amberwood Dr,78242-1221,29.370879,-98.60782,78242
969,6435 San Pedro Ave,78216-7219,29.496731,-98.499268,78216
970,8030 Zarzamora St S,78224-1706,29.346207,-98.534131,78224
971,7327 Palomino Bay,78252-4425,29.344077,-98.638788,78252
972,7400 Loop 410 Nw,78245-2344,29.448708,-98.633167,78245
973,200 Ira Lee Rd,78218-1703,29.504837,-98.421363,78218
974,2630 Arbor Place,78228-6408,29.439235,-98.545136,78228
975,5802 Kim Valley,78242-2212,29.350343,-98.611644,78242
976,1135 Mission Rd,78210-4505,29.385518,-98.489741,78210
977,1074 Arion Cir,78216-2829,29.550733,-98.478053,78216
978,726 Ruiz St,78207-1755,29.435247,-98.513475,78207
979,1235 Lombrano,78207,29.44429,-98.540322,78207
980,111 Yolanda,78228-5860,29.442273,-98.578782,78228
981,668 Holbrook,78218-5207,29.48025,-98.410605,78218
982,11400 Starcrest Dr,78216,29.546262,-98.454656,78216
983,409 Cheryl Dr E,78228-3022,29.464721,-98.556643,78228
984,755 Avondale Ave,78223-2207,29.370641,-98.452996,78223
985,5826 Bennington Dr,78228-4305,29.458861,-98.600551,78228
986,1439 Hunter Blvd,78224-2327,29.333202,-98.530768,78224
987,668 Holbrook,78218-5207,29.48025,-98.410605,78218
988,15 Gazelle Field,78258-4905,29.654657,-98.48855,78258
989,1010 Loop 1604 N E,78221,29.216218,-98.493725,78221
990,1500 Mission Rd,78210,29.382104,-98.489698,78210
991,402 Nueva W,78207-4516,29.423526,-98.500664,78207
992,12414 Garrett Crk,78254-6080,29.511838,-98.738382,78254
993,12133 Wetmore Rd,78247-3641,29.55211,-98.429483,78247
994,2507 Old Gate,78230-5230,29.525888,-98.533865,78230
995,2 Allen Chase,78233,29.543104,-98.361691,78233
996,827 Rexford,78216-6036,29.513094,-98.47561,78216
997,227 Greenlawn,78201-2812,29.481042,-98.531699,78201
998,1337 Leal St,78207-2107,29.435243,-98.525304,78207
999,14203 Modesta Place,78247-3836,29.571042,-98.446545,78247
1000,900 Holbrook,78218,29.484872,-98.41622,78218
1001,8620 Jones Maltsberger Rd,78216-5915,29.518241,-98.483713,78216
1002,4711 Sid Katz,78229-3370,29.517951,-98.577265,78229
1003,7730 Bandera Rd,78250,29.511999,-98.631886,78250
1004,1342 Gibbs St,78202-3146,29.421769,-98.452705,78202
1005,519 Garcia St,78203-1368,29.415536,-98.444088,78203
1006,841 Bitters Rd,78216-2014,29.564054,-98.481215,78216
1007,1106 Vance Jackson,78257,29.592858,-98.589437,78257
1008,8045 Lindbergh Landing,78235,29.346432,-98.441236,78235
1009,1889 Rigsby Ave,78210-3323,29.398064,-98.433032,78210
1010,1224 Craig Place W,78201-5745,29.451757,-98.514531,78201
1011,8903 Oakbrook,78221-3322,29.335642,-98.500073,78221
1012,107 Spotted Bear,78223,29.333256,-98.420074,78223
1013,7703 Quintana Rd,78211-3546,29.348358,-98.580823,78211
1014,902 Holbrook,78218,29.48491,-98.416246,78218
1015,9219 Summer Wind St,78217-4312,29.523933,-98.402731,78217
1016,1122 Grosvenor Blvd,78221-1408,29.354599,-98.52238,78221
1017,7515 Barlite Blvd,78224-1311,29.352684,-98.546589,78224
1018,932 Woodlawn W,78201-5725,29.452894,-98.50928,78201
1019,2719 Fredericksburg Rd,78201,29.470452,-98.531997,78201
1020,3 Villa Verde,78230-2709,29.55546,-98.552475,78230
1021,2535 Ih 35 N,78225,29.390172,-98.512188,78225
1022,203 Audubon S,78212-1424,29.476625,-98.497952,78212
1023,203 Audubon S,78212-1424,29.476625,-98.497952,78212
1024,5807 Deer Horn,78238-2605,29.477495,-98.601168,78238
1025,5518 Culebra Rd,78228-5648,29.4485,-98.596405,78228
1026,9000 Mertz Dr,78216,29.51686,-98.48796,78216
1027,5334 San Simeon,78228-4437,29.449994,-98.591555,78228
1028,11500 Sandman,78216-3031,29.544713,-98.503133,78216
1029,100 Chappie James Way,78236-0122,29.387205,-98.599873,78236
1030,12060 Pleasanton Rd,78221-9685,29.298295,-98.502598,78221
1031,6800 New Braunfels Ave N,78209-3852,29.492802,-98.459109,78209
1032,8802 Angel Valley Dr,78227-2306,29.41569,-98.658973,78227
1033,5895 Binz-Engleman Rd,78244-2102,29.45971,-98.374437,78244
1034,3401 Goliad Rd,78235,29.341908,-98.424872,78235
1035,15500 Babcock Rd,78255,29.588174,-98.630756,78255
1036,22601 Canyon Golf,78258-7329,29.661885,-98.471041,78258
1037,1526 Sunbend Falls,78224-2256,29.338487,-98.537781,78224
1038,260 Geneseo Rd,78209-5900,29.469695,-98.453497,78209
1039,8671 Loop 410 Sw,78242-2905,29.349142,-98.62852,78242
1040,421 Hays St,78202-1906,29.430188,-98.475238,78202
1041,7703 Quintana Rd,78211-3546,29.348358,-98.580823,78211
1042,1710 Donaldson Ave,78228-3027,29.46536,-98.557742,78228
1043,668 Holbrook,78218-5207,29.48025,-98.410605,78218
1044,3201 Cherry Ridge Dr,78230-4800,29.507763,-98.547474,78230
1045,3714 Travis W,78207-3229,29.431037,-98.538971,78207
1046,113 Tuttle Rd,78209-6142,29.473827,-98.445058,78209
1047,3215 Morales,78207-2431,29.434149,-98.537299,78207
1048,1510 Dahlgreen Ave,78237-2742,29.415836,-98.565638,78237
1049,1211 Travis St W,78207,29.428186,-98.507932,78207
1050,4207 Sylvanoaks,78229-4737,29.495733,-98.566675,78229
1051,403 Alice Fay Ave,78237-2222,29.426781,-98.581879,78237
1052,1039 Waverly,78201-6046,29.447734,-98.528526,78201
1053,14500 Ih 10 W,78249,29.578906,-98.596433,78249
1054,4820 Old Pearsall Rd,78242,29.364132,-98.590485,78242
1055,999 Shadow Mist,78238,29.483479,-98.623,78238
1056,5717 New Braunfels Ave S,78223,29.368627,-98.46075,78223
1057,5900 Fairshire,78242-2223,29.35171,-98.612899,78242
1058,8446 Country Village,78209-1000,29.515603,-98.469913,78209
1059,3033 Goliad Rd,78223-3909,29.352476,-98.431454,78223
1060,877 Burr Rd,78209-6106,29.470089,-98.441674,78209
1061,903 Chicago Blvd,78210-5113,29.385788,-98.463684,78210
1062,1510 Dahlgreen Ave,78237-2742,29.415836,-98.565638,78237
1063,4902 Ali Ave,78229-4948,29.494489,-98.582977,78229
1064,7208 Blanco Rd,78216-4931,29.523808,-98.504846,78216
1065,23102 Woodlawn Rdg,78259-2453,29.655195,-98.441849,78259
1066,1322 Lake Blvd,78201-3718,29.468,-98.531264,78201
1067,445 Amires Place,78237-1234,29.438935,-98.579655,78237
1068,4257 Loop 410 Nw,78229-4710,29.489742,-98.566876,78229
1069,4919 Santa Catalina Cv,78218-4159,29.492395,-98.369075,78218
1070,216 Yucca St,78203-2350,29.409418,-98.446488,78203
1071,11400 Starcrest Dr,78216,29.546262,-98.454656,78216
1072,1303 Hummingbird,78245-4470,29.420635,-98.713128,78245
1073,310 Leming Dr,78201-3700,29.469941,-98.536596,78201
1074,5666 Snell Dr,78219-3023,29.447901,-98.380138,78219
1075,200 Norma St,78221,29.356572,-98.496972,78221
1076,402 Aganier Ave,78212,29.450485,-98.506166,78212
1077,158 Moss Valley Dr,78227-4518,29.377867,-98.64363,78227
1078,7080 Oak Dr,78256-9608,29.639818,-98.620753,78256
1079,9255 Marymont Park,78217-3421,29.52467,-98.430696,78217
1080,7707 Quintana Rd,78211-3520,29.352219,-98.577229,78211
1081,3930 Highcliff Dr,78218-2424,29.510773,-98.416565,78218
1082,1074 Arion Cir,78216-2829,29.550733,-98.478053,78216
1083,11400 Starcrest Dr,78216,29.546262,-98.454656,78216
1084,902 Holbrook,78218,29.48491,-98.416246,78218
1085,10102 Us Hwy 90 West,78236,29.387049,-98.677686,78236
1086,806 Brazos St S,78207-5540,29.419252,-98.514283,78207
1087,11322 Jarbo Pass,78245-2284,29.399923,-98.699083,78245
1088,4410 Desert View Dr,78217-3632,29.52773,-98.405032,78217
1089,534 Mesa Loop,78258-4847,29.649997,-98.489096,78258
1090,1300 Schley Ave,78210-4218,29.393572,-98.465181,78210
1091,1825 San Angelo,78201-2351,29.48578,-98.525319,78201
1092,1323 Fenfield Ave,78211-3468,29.363157,-98.565613,78211
1093,4707 Crystal Hill,78238,29.478911,-98.619956,78238
1094,3 Gus Garcia,78207-6301,29.416934,-98.511794,78207
1095,9831 Salisbury Dr,78217-4529,29.529667,-98.447648,78217
1096,100 Dellwood,78216,29.504761,-98.494637,78216
1097,1500 Alamo St N,78215-1205,29.438741,-98.477246,78215
1098,103 Yolanda,78228-5860,29.441948,-98.578822,78228
1099,9127 Harbor Vw,78242-3207,29.330187,-98.612684,78242
1100,103 Morgans Cir,78216-8506,29.550272,-98.473661,78216
1101,1330 El Monte Blvd,78201-2420,29.484796,-98.516434,78201
1102,3400 Camino Real,78238-3427,29.4685,-98.605387,78238
1103,7903 Meadow Star,78227-1655,29.420659,-98.642546,78227
1104,7703 Quintana Rd,78211-3546,29.348358,-98.580823,78211
1105,416 Stratford Ct,78223-2030,29.37491,-98.467775,78223
1106,400 Boswell St,78214-2420,29.358969,-98.499043,78214
1107,139 Antrim,78218-4202,29.485351,-98.424657,78218
1108,7331 Beartrap Ln,78249-3696,29.569333,-98.635989,78249
1109,116 Woodlawn W,78212-3456,29.452879,-98.494766,78212
1110,202 Arapahoe,78207-7901,29.399724,-98.535549,78207
1111,10402 Bandera Rd,78250-6801,29.539913,-98.652315,78250
1112,2511 Old Hickory,78264-3920,29.179574,-98.489349,78264
1113,5642 Castle Knight Dr,78218-2310,29.504506,-98.379759,78218
1114,114 Eureka Dr,78223-2228,29.374815,-98.446967,78223
1115,2502 Waverly,78228-5423,29.449564,-98.554706,78228
1116,7000 New Braunfels Ave S,78223,29.3579,-98.44856,78223
1117,1402 Ansley Blvd W,78224-2005,29.335766,-98.528399,78224
1118,6050 Les Harrison Dr,78250-4848,29.497455,-98.691493,78250
1119,6903 Painter Way,78240-3143,29.505577,-98.595312,78240
1120,423 Glenn Ave E,78204-2742,29.390465,-98.499958,78204
1121,118 Barbara,78216-7338,29.503194,-98.492013,78216
1122,4212 Medical Dr,78229-5388,29.514948,-98.567029,78229
1123,3900 St Mary'S N,78212-3170,29.46098,-98.475519,78212
1124,3714 Neer Ave,78213-4522,29.489322,-98.520428,78213
1125,5897 Binz-Engleman Rd,78244-2102,29.459711,-98.374277,78244
1126,3003 Loop 410 Ne,78230-5106,29.508749,-98.543002,78230
1127,934 35Th St Sw,78237-3378,29.41408,-98.571875,78237
1128,4155 Longvale,78217-3524,29.529904,-98.411405,78217
1129,3838 Medical Dr,78229-2108,29.520481,-98.559104,78229
1130,4451 Sherwood Way,78217-1361,29.57402,-98.402017,78217
1131,89 Grey,78252,29.34373,-98.629271,78252
1132,1303 Callaghan Rd,78228-4310,29.449176,-98.602663,78228
1133,12672 Silicon Dr,78249-3411,29.556293,-98.592634,78249
1134,3570 Glacier Lake,78222-3343,29.379845,-98.370291,78222
1135,7713 Quintana Rd,78211-3546,29.353893,-98.575661,78211
1136,454 Soledad St,78205-1527,29.430022,-98.493386,78205
1137,8501 Perrin Beitel,78217-4816,29.515775,-98.411146,78217
1138,106 Donella Dr,78232-1402,29.598779,-98.472536,78232
1139,3495 Valley Rd,78221-5238,29.238149,-98.430732,78221
1140,10718 Horn Blvd,78240-4447,29.54359,-98.620628,78240
1141,203 Beryl Dr,78213-4004,29.497588,-98.531259,78213
1142,1022 Monterey St,78207-4316,29.424434,-98.509916,78207
1143,500 Groos Ave,78223,29.372261,-98.466707,78223
1144,515 Military Drive Sw,78221-1636,29.356777,-98.499999,78221
1145,7162 Oakridge,78229-3612,29.4976,-98.55763,78229
1146,2623 Loop 410 Ne,78217-5608,29.516324,-98.41226,78217
1147,1074 Arion Cir,78216-2829,29.550733,-98.478053,78216
1148,4602 Perrin Crk,78217-3700,29.522064,-98.397968,78217
1149,5402 Sunlit Brook,78240-2453,29.501851,-98.59276,78240
1150,100 Crestwood Dr,78209,29.476757,-98.43712,78209
1151,11400 Starcrest Dr,78216,29.546262,-98.454656,78216
1152,10447 Nacogdoches Rd,78217-2842,29.534993,-98.42781,78217
1153,1006 Holbrook,78218-3325,29.488053,-98.417965,78218
1154,2200 Hackamore Ln,78227,29.410736,-98.639388,78227
1155,9202 New Guilbeau Rd,78250-5802,29.523744,-98.67417,78250
1156,10333 Huebner Rd,78240-1547,29.539463,-98.584152,78240
1157,220 Topeka Blvd,78210-4060,29.387015,-98.475996,78210
1158,902 Holbrook,78218,29.48491,-98.416246,78218
1159,937 Donaldson Ave,78228-3225,29.464185,-98.542035,78228
1160,623 Storeywood,78213-2836,29.502946,-98.543332,78213
1161,443 Wood Shadow,78216-1637,29.572377,-98.496819,78216
1162,7402 Stampede,78227,29.41364,-98.636266,78227
1163,1714 Travis St W,78207-3958,29.428696,-98.513736,78207
1164,8518 Modred,78254-2437,29.527614,-98.656602,78254
1165,327 Hot Wells,78223-2519,29.368676,-98.464435,78223
1166,3900 Eisenhauer Rd,78218-3401,29.496577,-98.419758,78218
1167,8139 Marbach Rd,78227-1616,29.417857,-98.64856,78227
1168,6226 Rose Valley,78250,29.49848,-98.69339,78250
1169,755 Avondale Ave,78223-2207,29.370641,-98.452996,78223
1170,403 Roper,78208-2022,29.437505,-98.452828,78208
1171,5921 San Pedro Ave,78212-1253,29.48902,-98.499276,78212
1172,300 Wonder Pkwy,78213-4461,29.492048,-98.529636,78213
1173,3067 Commerce St E,78220-1036,29.419753,-98.440242,78220
1174,446 Natalen Ave,78209-6815,29.455733,-98.461842,78209
1175,7220 Marbach Rd,78227-1916,29.417758,-98.632358,78227
1176,4602 Perrin Crk,78217-3700,29.522064,-98.397968,78217
1177,7903 Gallop,78227-2626,29.409058,-98.644571,78227
1178,9530 Tarleton Place,78223-4721,29.325996,-98.434372,78223
1179,4301 Broadway,78215,29.44005,-98.477843,78215
1180,3067 Commerce St E,78220-1036,29.419753,-98.440242,78220
1181,911 Topaz St,78228-6461,29.440251,-98.550562,78228
1182,1542 Terra Alta W,78209-2557,29.5054,-98.470725,78209
1183,5626 Kless Dr,78242-2381,29.348627,-98.608856,78242
1184,227 Wyanoke,78209-6432,29.469202,-98.442664,78209
1185,2335 Nopal St,78210-5259,29.385655,-98.458992,78210
1186,123 Pamela,78223-1265,29.376901,-98.468417,78223
1187,700 Springfield Rd,78219-1816,29.452059,-98.401472,78219
1188,6600 Merry Oaks Dr,78242,29.369438,-98.604685,78242
1189,11860 Thoroughbred Trl,78253-5043,29.466401,-98.725718,78253
1190,527 Fresno,78212-1404,29.474203,-98.502601,78212
1191,8800 Oakbrook,78221-3319,29.337296,-98.499495,78221
1192,3111 Fairmeadows,78211-4053,29.337277,-98.557248,78211
1193,2400 Pine St N,78234,29.451374,-98.469407,78234
1194,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
1195,5275 Round Table,78218-2827,29.506166,-98.383344,78218
1196,1303 Wheatley Ave,78220-3235,29.410196,-98.425028,78220
1197,803 Brady,78207-7324,29.40313,-98.536001,78207
1198,2510 Darwin,78228-3436,29.461861,-98.599193,78228
1199,738 Loop 410 Nw,78216-5609,29.520148,-98.503722,78216
1200,5802 Kettering St,78228-3444,29.46335,-98.5993,78228
1201,2610 Hackamore Ln,78227-2721,29.404259,-98.639314,78227
