,addresses,zip,lat,long,short-zip
2717,1500 Memorial St,78228,29.448324,-98.563009,78228
2718,818 Valley Hi Dr,78227-4604,29.380841,-98.640524,78227
2719,300 Petaluma Blvd E,78221-3337,29.33914,-98.497261,78221
2720,4238 Commerce St W,78237,29.429951,-98.546089,78237
2721,403 Wildwood W,78212-1327,29.479477,-98.501789,78212
2722,119 Pinewood Ln,78216-6728,29.509785,-98.49678,78216
2723,103 Pinewood Ln,78216-6728,29.509817,-98.497862,78216
2724,8403 Loop 410 Sw,78242-2519,29.345981,-98.627231,78242
2725,450 Acme Rd S,78237-2215,29.426206,-98.58761,78237
2726,1320 Austin Hwy,78209-4330,29.490647,-98.440211,78209
2727,3300 Military Dr Se,78223-3980,29.351719,-98.432885,78223
2728,2340 Crockett St E,78202-3213,29.423326,-98.443649,78202
2729,835 Lee Hall,78212-1351,29.475932,-98.505929,78212
2730,538 San Bernardo N,78228-6232,29.443787,-98.55378,78228
2731,4307 Diamondhead Dr,78218-3508,29.495688,-98.409594,78218
2732,403 Wildwood W,78212-1327,29.479477,-98.501789,78212
2733,426 Koehler Ct,78223-2917,29.36642,-98.459697,78223
2734,1300 Lombrano St,78207,29.443299,-98.529735,78207
2735,2011 Bandera Rd,78228-2800,29.473317,-98.578678,78228
2736,3006 Beacon Ave,78212-1018,29.491053,-98.504373,78212
2737,20922 Creek River,78259-2071,29.635732,-98.400141,78259
2738,5906 Elm Valley,78242-1610,29.360703,-98.617784,78242
2739,7923 Donore Place,78229-2615,29.510188,-98.565253,78229
2740,1437 Kendalia Ave,78224-1109,29.360204,-98.5319,78224
2741,1999 Gulfmart,78217-6308,29.520196,-98.46442,78217
2742,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
2743,8629 Perrin Beitel,78217-4818,29.518432,-98.410918,78217
2744,5902 Bandera Rd,78238-1821,29.483079,-98.601849,78238
2745,238 Oriole,78239,29.521798,-98.361671,78239
2746,1800 Rigsby Ave,78210-3324,29.398022,-98.435729,78210
2747,345 Quill Dr W,78228-3816,29.466128,-98.577847,78228
2748,6305 Cagnon Rd,78252,29.369882,-98.707294,78252
2749,7900 Bandera Rd,78250-6510,29.512402,-98.632184,78250
2750,2606 Wagonwheel,78217,29.517534,-98.449597,78217
2751,1615 Laredo St S,78207-7015,29.411384,-98.5095,78207
2752,526 Koehler Ct,78223-2919,29.36643,-98.457768,78223
2753,500 Dafoste,78220,29.421391,-98.431278,78220
2754,1603 Santa Barbara,78201-4004,29.470396,-98.52108,78201
2755,9520 Kriewald Rd,78245-9504,29.390549,-98.671972,78245
2756,10810 Wedgewood,78230,29.539205,-98.530587,78230
2757,5300 Loop 410 Sw,78227,29.375466,-98.638462,78227
2758,8100 Marbach Rd,78227-1686,29.417817,-98.647048,78227
2759,2214 Andros Place,78227-2934,29.409103,-98.625205,78227
2760,7835 Braun Bend,78250-2681,29.516633,-98.652685,78250
2761,478 French Place E,78212-3723,29.450089,-98.484319,78212
2762,806 Westwood,78212-1847,29.469737,-98.506337,78212
2763,3900 Martin St W,78207-2746,29.433017,-98.536856,78207
2764,8307 Quail Creek Dr,78218-1504,29.513454,-98.416168,78218
2765,210 Grimes St S,78203-2118,29.41841,-98.449919,78203
2766,1731 Donaldson Ave,78228-3028,29.465452,-98.558611,78228
2767,3500 Poplar St W,78228-6432,29.44258,-98.545802,78228
