report_date,total_gallons,gallons_returned,spill_start,spill_stop,hours,cause,actions,watershed,unit_id_1,unit_id_2,discharge_to,discharge_route,council_district,month,year,week,edwards_zone,pipe_diameter,pipe_length,pipe_type,installation_year,inches_no,rainfall_less_3,num_spills_compkey,num_spills_24mos,unit_type,asset_type,last_cleaned,response_time,response_datetime,public_notice,time_int,root_cause,steps_to_prevent,spill_street_address,multiple_spills
2018-12-26,815355,0.0,12/26/2018 3:45:00 PM,1/3/2019 7:00:00 PM,63.93,i/i,monitored area,leon creek,903059,71380,creek bed - spilled into leon creek,leon creek,6,12,2018,52,0,42.0,1301.0,rcp,1973,0.0,0.0,10,9,outfall,sewer main,,0.00,2018-12-26,True,0,rain event,"Capacity Project, ",6606 Swiss Oaks,False
2018-12-24,24000,0.0,12/24/2018 4:30:00 PM,12/25/2018 12:30:00 AM,8.0,structural,monitored area,leon creek,903059,71380,creek bed - spilled into leon creek,leon creek,6,12,2018,52,0,66.0,27.15,frp,2014,0.0,0.0,9,8,outfall,sewer main,,0.00,2018-12-24,False,0,rain event,"Capacity Project, ",6606 Swiss Oaks,False
2018-12-24,701,0.0,12/24/2018 10:59:00 AM,12/24/2018 10:40:00 PM,11.68333333,structural,cleaned main,dos rios,6778,10200,street,none,8,12,2018,52,0,8.0,400.0,vcp,1975,0.0,0.0,1,1,gravity,sewer main,,0.00,2018-12-24,False,24,structural,"Point Repair, ",10020 Ih 10 W,False
2018-12-21,15300,0.0,12/21/2018 9:27:00 PM,12/22/2018,2.55,debris,cleaned main,leon creek,70329,84234,drainage culvert,none,6,12,2018,51,0,12.0,102.0,pvc,1987,0.0,0.0,1,1,gravity,sewer main,,0.30,2018-12-21,False,12,contractor,"Increase FCS, ",6835 Us Hwy 90 W,False
2018-12-20,41,0.0,12/20/2018 1:51:00 PM,12/20/2018 3:43:00 PM,1.8666666669999998,structural,repaired main,dos rios,17757,17596,stormdrain,none,7,12,2018,51,0,8.0,300.0,pvc,1982,0.0,0.0,2,1,gravity,sewer main,,0.65,2018-12-20,False,24,structural,"Point Repair, ",307 Azucena St,False
2018-12-18,270,0.0,12/18/2018 3:30:00 AM,12/18/2018 3:45:00 AM,0.25,structural,repaired force main,medio creek,98071,98072,ground,none,4,12,2018,51,0,12.0,384.32,pvc,2005,0.0,0.0,1,1,force,sewer main,,0.00,2018-12-18,False,0,structural,na,7100 Covel,False
2018-12-17,320,0.0,12/17/2018 3:32:00 PM,12/17/2018 4:36:00 PM,1.066666667,grease,cleaned main,salado creek,92791,92249,ground,none,3,12,2018,51,0,8.0,280.0,vcp,1989,0.0,0.0,1,1,gravity,sewer main,,0.75,2018-12-17,False,120,grease,"Increase FCS, ",112 Claggett,False
2018-12-16,16125,0.0,12/16/2018 3:30:00 PM,12/17/2018 2:15:00 AM,10.75,structural,monitored area,leon creek,903059,71380,creek bed - spilled into leon creek,leon creek,6,12,2018,51,0,42.0,1301.0,rcp,1973,0.0,0.0,8,7,outfall,sewer main,,0.00,2018-12-16,False,0,rain event,"Capacity Project, ",6606 Swiss Oaks,False
2018-12-15,460,0.0,12/15/2018 12:54:00 PM,12/15/2018 1:40:00 PM,0.7666666670000001,debris,cleaned main,salado creek,61141,49543,alley,none,2,12,2018,50,0,12.0,291.9,cp,1952,0.0,0.0,1,1,gravity,sewer main,,0.43,2018-12-15,False,3,structural,"Design Request, ",602 Olney Dr,False
2018-12-13,16900,0.0,12/13/2018 11:21:00 AM,12/13/2018 2:10:00 PM,2.816666667,vandalism,cleaned main,salado creek,50308,50307,drainage culvert,none,10,12,2018,50,0,8.0,84.38,pvc,1981,0.0,0.0,1,1,gravity,sewer main,,1.33,2018-12-13,False,24,vandalism,"Increase FCS, ",5601 Creekwood Dr,False
2018-12-13,200,0.0,12/13/2018 5:45:00 PM,12/13/2018 6:15:00 PM,0.5,contractor,monitored area,salado creek,59961,59960,ground,none,2,12,2018,50,0,36.0,323.6,rcp,1966,0.0,0.0,1,1,outfall,sewer main,,0.00,2018-12-13,False,0,contractor,"Design Request, ",4158 Briarglen,False
2018-12-13,1050,0.0,12/13/2018 1:13:00 PM,12/17/2018 2:02:00 PM,96.81666667,structural,repaired force main,leon creek,75794,75793,ground,none,3,12,2018,50,0,8.0,1171.6,pvc,1984,0.0,0.0,1,1,force,sewer node,,0.53,2018-12-13,False,0,structural,na,13000 Pleasanton Rd,False
2018-12-11,275,0.0,12/11/2018 10:34:00 AM,12/11/2018 10:45:00 AM,0.18333333300000001,contractor,repaired main,salado creek,51214,51213,ground,none,10,12,2018,50,0,8.0,402.0,pvc,1984,0.0,0.0,1,1,gravity,sewer main,,0.00,2018-12-11,False,120,contractor,"Point Repair, ",3935 Thousand Oaks Dr,False
2018-12-10,66600,0.0,12/10/2018 10:00:00 AM,12/10/2018 2:57:00 PM,4.95,structural,repaired main,salado creek,53148,53412,ground - spill ran through golf course into nearby surface pond,none,9,12,2018,50,0,24.0,322.5,rcp,1985,0.0,0.0,1,1,outfall,sewer main,,1.75,2018-12-10,False,120,structural,"Capacity Project, ",13631 Bluff Cir,True
2018-12-09,21600,0.0,12/9/2018 4:18:00 PM,12/9/2018 11:30:00 PM,7.2,i/i,monitored area,leon creek,41422,55568,creek bed - spilled into leon creek,leon creek,6,12,2018,50,0,8.0,298.11,vcp,1974,0.0,0.0,1,1,gravity,sewer main,,0.00,2018-12-09,False,120,rain event,"Capacity Project, ",10000 W Commerce St,False
2018-12-07,450,0.0,12/7/2018 3:30:00 PM,12/7/2018 8:00:00 PM,4.5,i/i,monitored area,dos rios,239,na,ground,none,0,12,2018,49,0,0.0,0.0,na,9999,0.0,0.0,6,0,na,sewer lift station,,0.00,2018-12-07,False,0,contractor,"I/I Inv, ",1612 Martinez Losoya,True
2018-12-07,1177800,0.0,12/7/2018 6:30:00 PM,12/8/2018 5:00:00 AM,10.5,i/i,monitored area,leon creek,903059,71380,creek bed - spilled into leon creek,leon creek,6,12,2018,49,0,42.0,1301.0,rcp,1973,0.0,0.0,7,6,outfall,sewer main,,0.00,2018-12-07,True,0,rain event,"Capacity Project, ",6606 Swiss Oaks,True
2018-12-05,255,0.0,12/5/2018 7:09:00 PM,12/5/2018 8:00:00 PM,0.85,debris,cleaned main,dos rios,27572,27671,street,none,3,12,2018,49,0,8.0,356.0,ct,1927,0.0,0.0,1,1,gravity,sewer main,,0.60,2018-12-05,False,120,structural,"Point Repair, ",3015 S Pine St,False
2018-12-04,150,0.0,12/4/2018 8:45:00 AM,12/5/2018 7:45:00 PM,35.0,structural,repaired lateral,dos rios,29135,na,street,none,2,12,2018,49,0,6.0,0.0,pvc,9999,0.0,0.0,1,1,lateral,sewer service line,,0.00,2018-12-04,False,0,structural,"Point Repair, ",515 E Whittier St,False
2018-12-03,5984,0.0,12/3/2018 2:42:00 PM,12/3/2018 6:24:00 PM,3.7,structural,repaired main,salado creek,1038126,542912,drainage culvert - over the edwards aquifer recharge zone,none,0,12,2018,49,1,8.0,4065.0,pvc,2003,0.0,0.0,1,1,other,sewer node,,1.38,2018-12-03,False,0,structural,"Point Repair, ",4770 Tpc Pkwy,False
2018-12-03,1100,0.0,12/3/2018 10:14:00 AM,12/3/2018 11:09:00 AM,0.916666667,contractor,cleaned main,salado creek,98385,94623,street - over the edwards aquifer recharge zone,none,9,12,2018,49,5,8.0,0.29,pvc,1998,0.0,0.0,1,1,gravity,sewer main,,0.70,2018-12-03,False,60,contractor,na,22139 Us Hwy 281 N,False
2018-12-02,131,0.0,12/2/2018 11:19:00 AM,12/2/2018 1:30:00 PM,2.183333333,grease,cleaned main,ccma (subscriber),95347,83495,drainage culvert,none,10,12,2018,49,0,8.0,103.9,vcp,1976,0.0,0.0,1,1,gravity,sewer main,,1.18,2018-12-02,False,120,grease,"Increase FCS, ",6254 Stahl Rd,False
2018-11-29,70010,0.0,11/29/2018 2:19:00 PM,11/29/2018 5:30:00 PM,3.183333333,contractor,unstopped main,dos rios,66425,65302,drainage culvert - spilled into potranco creek,none,0,11,2018,48,0,0.0,0.0,na,9999,0.0,0.0,1,1,gravity,sewer main,,0.18,2018-11-29,True,120,contractor,na,2380 Grosenbacher Rd,True
2018-11-29,25,0.0,11/29/2018 8:20:00 PM,11/29/2018 8:45:00 PM,0.41666666700000005,debris,repaired main,dos rios,42855,42856,street,none,2,11,2018,48,0,8.0,192.0,pvc,2004,0.0,0.0,1,1,gravity,sewer main,,0.00,2018-11-29,False,6,structural,"Design Request, ",346 J St,False
2018-11-28,121,0.0,11/28/2018 12:14:00 PM,11/28/2018 2:15:00 PM,2.016666667,grease,cleaned main,salado creek,48928,48917,stormdrain,none,2,11,2018,48,0,8.0,310.0,vcp,1961,0.0,0.0,1,1,gravity,sewer main,,1.90,2018-11-28,False,24,grease,"Design Request, ",3410 Belgium,False
2018-11-26,7350,0.0,11/26/2018 11:13:00 AM,11/26/2018 1:40:00 PM,2.45,grease,cleaned main,salado creek,55993,43215,creek bed - spilled into salado creek,salado creek,3,11,2018,48,0,8.0,220.0,dip,1981,0.0,0.0,2,1,siphon,sewer main,,2.12,2018-11-26,False,0,rain event,"Capacity Project, ",4207 Se Military Dr,False
2018-11-22,103,0.0,11/22/2018 7:57:00 AM,11/22/2018 9:40:00 AM,1.716666667,grease,cleaned main,dos rios,10203,9203,ground,none,8,11,2018,47,0,8.0,280.0,vcp,1967,0.0,0.0,1,1,gravity,sewer main,,0.55,2018-11-22,False,120,grease,"Increase FCS, ",9403 Wurzbach Rd,False
2018-11-22,5200,0.0,11/22/2018 8:33:00 PM,11/23/2018 12:30:00 AM,3.95,grease,cleaned main,dos rios,97681,97682,street,none,3,11,2018,47,0,8.0,400.0,pvc,1994,0.0,0.0,1,1,gravity,sewer main,,2.83,2018-11-23,False,120,grease,"Increase FCS, ",458 E Vestal Place,False
2018-11-22,165000,0.0,11/22/2018 2:00:00 PM,11/22/2018 7:30:00 PM,5.5,structural,monitored area,leon creek,903059,71380,creek bed - spilled into leon creek,leon creek,6,11,2018,47,0,42.0,1301.0,rcp,1973,0.0,0.0,6,5,outfall,sewer main,,0.00,2018-11-22,True,0,rain event,"Capacity Project, ",6606 Swiss Oaks,False
2018-11-22,359100,0.0,11/22/2018 3:33:00 PM,11/23/2018 11:30:00 AM,19.95,structural,monitored area,salado creek,48124,46543,creek bed - spilled into salado creek,salado creek,2,11,2018,47,0,42.0,396.5,rcp,1965,0.0,0.0,1,1,outfall,sewer main,,1.03,2018-11-22,True,0,rain event,"Capacity Project, ",2009 Austin Hwy,False
